"","pkg","dataset","varname","grouping","nlev","type","error"
"1","party","mammoexp","PB","ME",3,"t pool.sd","ok"
"2","party","mammoexp","PB","ME",3,"t !pool.sd","ok"
"3","party","mammoexp","PB","ME",3,"wilcox","ok"
"4","party","mammoexp","PB","ME",3,"tukey","ok"
"5","party","mammoexp","SYMPT:Strongly Agree","ME",3,"prop","ok"
"6","party","mammoexp","SYMPT:Agree","ME",3,"prop","ok"
"7","party","mammoexp","SYMPT:Disagree","ME",3,"prop","ok"
"8","party","mammoexp","SYMPT:Strongly Disagree","ME",3,"prop","ok"
"9","party","mammoexp","HIST:No","ME",3,"prop","ok"
"10","party","mammoexp","HIST:Yes","ME",3,"prop","ok"
"11","party","mammoexp","BSE:No","ME",3,"prop","ok"
"12","party","mammoexp","BSE:Yes","ME",3,"prop","ok"
"13","party","mammoexp","DECT:Not likely","ME",3,"prop","ok"
"14","party","mammoexp","DECT:Somewhat likely","ME",3,"prop","ok"
"15","party","mammoexp","DECT:Very likely","ME",3,"prop","ok"
"16","party","mammoexp","PB","SYMPT",4,"t pool.sd","ok"
"17","party","mammoexp","PB","SYMPT",4,"t !pool.sd","ok"
"18","party","mammoexp","PB","SYMPT",4,"wilcox","ok"
"19","party","mammoexp","PB","SYMPT",4,"tukey","ok"
"20","party","mammoexp","ME:Never","SYMPT",4,"prop","ok"
"21","party","mammoexp","ME:Within a Year","SYMPT",4,"prop","ok"
"22","party","mammoexp","ME:Over a Year","SYMPT",4,"prop","ok"
"23","party","mammoexp","HIST:No","SYMPT",4,"prop","ok"
"24","party","mammoexp","HIST:Yes","SYMPT",4,"prop","ok"
"25","party","mammoexp","BSE:No","SYMPT",4,"prop","ok"
"26","party","mammoexp","BSE:Yes","SYMPT",4,"prop","ok"
"27","party","mammoexp","DECT:Not likely","SYMPT",4,"prop","ok"
"28","party","mammoexp","DECT:Somewhat likely","SYMPT",4,"prop","ok"
"29","party","mammoexp","DECT:Very likely","SYMPT",4,"prop","ok"
